Study,File,Variable,Variable Label,Type,N Non-missing,N Missing,Lowest Value,10% Value,20% Value,30% Value,40% Value,50% Value,60% Value,70% Value,80% Value,90% Value,Highest Value
EMD_NCT01016483_1_mek,DS,DSREFID,Reference ID,Char,44,255,2002,2008,2016,5001,6003,6011,7001,7009,7020,8004,9005
EMD_NCT01016483_1_mek,DS,DSTERM,Reported Term for the Disposition Event,Char,0,299,,,,,,,,,,,
EMD_NCT01016483_1_mek,DS,DSDECOD,Standardized Disposition Term,Char,299,0,ADVERSE EVENT,DEATH,DEATH,INFORMED CONSENT OBTAINED,INFORMED CONSENT OBTAINED,PGX INFORMED CONSENT OBTAINED,PROGRESSIVE DISEASE,PROGRESSIVE DISEASE,PROGRESSIVE DISEASE,RANDOMIZED,WITHDRAWAL BY SUBJECT
EMD_NCT01016483_1_mek,DS,DSCAT,Category for Disposition Event,Char,299,0,DISPOSITION EVENT,DISPOSITION EVENT,DISPOSITION EVENT,DISPOSITION EVENT,DISPOSITION EVENT,DISPOSITION EVENT,PROTOCOL MILESTONE,PROTOCOL MILESTONE,PROTOCOL MILESTONE,PROTOCOL MILESTONE,PROTOCOL MILESTONE
EMD_NCT01016483_1_mek,DS,DSSCAT,Subcategory for Disposition Event,Char,245,54,DEATH,DEATH,END OF STUDY,END OF STUDY,END OF TREATMENT,END OF TREATMENT,MONOTHERAPY END OF STUDY,STUDY TREATMENT,STUDY TREATMENT,STUDY TREATMENT,STUDY TREATMENT
EMD_NCT01016483_1_mek,DS,ETCD,Element Code,Char,155,144,FU,FU,MONOTHER,MPTP,PTP,PTP,PTP,PTP,TRT_PLA,TRT_PLA,TRT_PLA
EMD_NCT01016483_1_mek,DS,ELEMENT,Description of Element,Char,155,144,Follow-up Period,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Monotherapy Post Treatment Period,Pimasertib Monotherapy,Post Treatment Period,Post Treatment Period,Post Treatment Period,Post Treatment Period
EMD_NCT01016483_1_mek,DS,EPOCH,Epoch,Char,155,144,FOLLOW-UP,FOLLOW-UP,MONOTHERAPY POST TREATMENT,MONOTHERAPY TREATMENT,POST TREATMENT,POST TREATMENT,POST TREATMENT,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,DS,DSDTC,Date/Time of Collection,Char,299,0,******,******,2013-04-12,2013-06-14,2013-07-11,2013-08-03,2013-09-07,2013-10-13,2013-11-06,2014-02-11,2015-03-16
EMD_NCT01016483_1_mek,DS,DSSTDTC,Start Date/Time of Disposition Event,Char,299,0,******,******,2013-04-06,2013-06-20,2013-07-16,2013-09-02,2013-10-08,2013-11-14,2014-01-23,2014-04-16,2015-03-16
EMD_NCT01016483_1_mek,DS,DSDY,Study Day of Collection,Num,255,44,-29,-7,1,1,1,1,52,86,143,231,646
EMD_NCT01016483_1_mek,DS,DSSTDY,Study Day of Start of Disposition Event,Num,251,48,-33,-15,-8,-6,29,56,91,148,202,284,646
EMD_NCT01016483_1_mek,DV,STUDYID,Study Identifier,Char,719,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,DV,DOMAIN,Domain Abbreviation,Char,719,0,DV,DV,DV,DV,DV,DV,DV,DV,DV,DV,DV
EMD_NCT01016483_1_mek,DV,USUBJID,Unique Subject Identifier,Char,719,0,1,8,11,17,21,27,34,38,39,41,44
EMD_NCT01016483_1_mek,DV,DVSEQ,Sequence Number,Num,719,0,1,2,4,7,10,14,20,28,37,54,85
EMD_NCT01016483_1_mek,DV,DVTERM,Protocol Deviation Term,Char,0,719,,,,,,,,,,,
EMD_NCT01016483_1_mek,DV,DVCAT,Category for Protocol Deviation,Char,718,1,MAJOR,MINOR,MINOR,MINOR,MINOR,MINOR,MINOR,MINOR,MINOR,MINOR,MINOR
EMD_NCT01016483_1_mek,DV,ETCD,Element Code,Char,559,160,FU,FU,FU,MPTP,PTP,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,DV,ELEMENT,Description of Element,Char,557,162,Follow-up Period,Follow-up Period,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Monotherapy Post Treatment Period,Monotherapy Post Treatment Period,Post Treatment Period
EMD_NCT01016483_1_mek,DV,EPOCH,Epoch,Char,559,160,FOLLOW-UP,FOLLOW-UP,FOLLOW-UP,MONOTHERAPY POST TREATMENT,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,DV,DVSTDTC,Start Date/Time of Deviation,Char,719,0,******,2013-07-24,2013-08-01,2013-10-13,2013-11-15,2013-12-14,2014-01-04,2014-01-21,2014-02-21,2014-05-06,2014-11-18
EMD_NCT01016483_1_mek,DV,DVSTDY,Study Day of Start of Deviation,Num,713,6,8,43,101,104,128,162,214,231,260,309,486
EMD_NCT01016483_1_mek,EG,STUDYID,Study Identifier,Char,10398,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,EG,DOMAIN,Domain Abbreviation,Char,10398,0,EG,EG,EG,EG,EG,EG,EG,EG,EG,EG,EG
EMD_NCT01016483_1_mek,EG,USUBJID,Unique Subject Identifier,Char,10398,0,1,5,8,14,20,23,27,34,37,41,44
EMD_NCT01016483_1_mek,EG,EGSEQ,Sequence Number,Num,10398,0,1,24,49,73,99,128,164,208,262,338,571
EMD_NCT01016483_1_mek,EG,EGGRPID,Group ID,Char,0,10398,,,,,,,,,,,
EMD_NCT01016483_1_mek,EG,EGTESTCD,ECG Test or Examination Short Name,Char,10398,0,CONDUCT,HRMEAN,INTP,INTP,PRMEAN,QRS,QT,QTCB,QTCF,RRMEAN,TWAVE
EMD_NCT01016483_1_mek,EG,EGTEST,ECG Test or Examination Name,Char,10398,0,Conduction Finding,Interpretation,QRS Interval,QRS Interval,QT Interval,QTcB - Bazett's Correction Formula,QTcF - Fridericia's Correction Formula,Summary (Mean) Heart Rate,Summary (Mean) PR Duration,Summary (Mean) RR Duration,T Waves Finding
EMD_NCT01016483_1_mek,EG,EGORRES,Result or Finding in Original Units,Char,9780,618,100,155,377,408,430,47,73,84,95,LOW VOLTAGE,VENTRICULAR PREMATURE COMPLEXES
EMD_NCT01016483_1_mek,EG,EGORRESU,Original Units,Char,8080,2318,BEATS/MIN,BEATS/MIN,msec,msec,msec,msec,msec,msec,msec,msec,msec
EMD_NCT01016483_1_mek,EG,EGSTRESC,Character Result/Finding in Std Format,Char,9780,618,100,155,377,408,430,47,73,84,95,LOW VOLTAGE,VENTRICULAR PREMATURE COMPLEXES
EMD_NCT01016483_1_mek,EG,EGSTRESN,Numeric Result/Finding in Standard Units,Num,8080,2318,37,77,90,130,177,386,408,427,449,767,1610
EMD_NCT01016483_1_mek,EG,EGSTRESU,Standard Units,Char,8080,2318,BEATS/MIN,BEATS/MIN,msec,msec,msec,msec,msec,msec,msec,msec,msec
EMD_NCT01016483_1_mek,EG,EGSTAT,Completion Status,Char,618,9780,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE
EMD_NCT01016483_1_mek,EG,EGREASND,Reason ECG Not Performed,Char,618,9780,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF
EMD_NCT01016483_1_mek,EG,EGBLFL,Baseline Flag,Char,377,10021,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,EG,VISITNUM,Visit Number,Num,10398,0,1,101,102,108,115,122,136,147,401,1201,26777
EMD_NCT01016483_1_mek,EG,VISIT,Visit Name,Char,10398,0,CYCLE 1 DAY 1,CYCLE 1 DAY 1,CYCLE 1 DAY 15,CYCLE 1 DAY 22,CYCLE 1 DAY 29,CYCLE 1 DAY 36,CYCLE 1 DAY 8,CYCLE 10 DAY 1,CYCLE 3 DAY 1,END OF TREATMENT,SCREENING
EMD_NCT01016483_1_mek,EG,VISITDY,Planned Study Day of Visit,Num,9981,417,-28,1,2,8,15,22,29,43,85,225,2085
EMD_NCT01016483_1_mek,EG,ETCD,Element Code,Char,9780,618,MONOTHER,SCRN,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,EG,ELEMENT,Description of Element,Char,9756,642,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Monotherapy Post Treatment Period,Screening
EMD_NCT01016483_1_mek,EG,EPOCH,Epoch,Char,9780,618,MONOTHERAPY POST TREATMENT,SCREENING,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,EG,EGDTC,Date/Time of ECG,Char,10398,0,******,2013-03-10T09:51,2013-05-09T09:07,2013-06-14T13:58,2013-07-12T12:57,2013-08-01T09:41,2013-08-22T13:00,2013-09-17T09:55,2013-10-27T08:30,2014-01-15T09:02,2015-02-16T09:27
EMD_NCT01016483_1_mek,EG,EGDY,Study Day of ECG,Num,9780,618,-21,1,2,8,15,22,36,47,85,180,618
EMD_NCT01016483_1_mek,EG,EGTPT,Planned Time Point Name,Char,9532,866,1 HOUR POST DOSE,1 HOUR POST DOSE,1 HOUR POST DOSE,1 HOUR POST DOSE,2 HOURS POST DOSE,4 HOURS POST DOSE,4 HOURS POST DOSE,PRE-DOSE,PRE-DOSE,PRE-DOSE,PRE-DOSE
EMD_NCT01016483_1_mek,EG,EGTPTNUM,Planned Time Point Number,Num,9532,866,0,0,0,0,100,100,100,100,200,400,400
EMD_NCT01016483_1_mek,EG,EGELTM,Planned Elapsed Time from Time Point Ref,Char,9532,866,-PT5M,-PT5M,-PT5M,-PT5M,PT1H,PT1H,PT1H,PT1H,PT2H,PT4H,PT4H
EMD_NCT01016483_1_mek,EG,EGTPTREF,Time Point Reference,Char,9532,866,AM DOSE OF PIMASERTIB,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO,AM DOSE OF PLACEBO
EMD_NCT01016483_1_mek,EG,EGRFTDTC,Date/Time of Reference Time Point,Char,10398,0,******,******,******,2013-04-26T10:05,2013-06-13T13:00,2013-07-16T10:48,2013-08-06T12:00,2013-09-02T10:15,2013-09-30T11:00,2013-12-22T11:05,2015-01-19T10:20
EMD_NCT01016483_1_mek,EX,STUDYID,Study Identifier,Char,11309,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,EX,DOMAIN,Domain Abbreviation,Char,11309,0,EX,EX,EX,EX,EX,EX,EX,EX,EX,EX,EX
EMD_NCT01016483_1_mek,EX,USUBJID,Unique Subject Identifier,Char,11309,0,1,5,5,8,16,21,26,33,37,41,44
EMD_NCT01016483_1_mek,EX,EXSEQ,Sequence Number,Num,11309,0,1,28,60,96,138,190,249,336,454,649,1301
EMD_NCT01016483_1_mek,EX,EXGRPID,Group ID,Char,11309,0,GEMCITABINE CYCLE 1,PIMASERTIB CYCLE 2,PLACEBO CYCLE 1,PLACEBO CYCLE 1,PLACEBO CYCLE 1,PLACEBO CYCLE 14,PLACEBO CYCLE 2,PLACEBO CYCLE 3,PLACEBO CYCLE 5,PLACEBO CYCLE 6,PLACEBO CYCLE 9
EMD_NCT01016483_1_mek,EX,EXTRT,Name of Actual Treatment,Char,11309,0,GEMCITABINE,PIMASERTIB,PLACEBO,PLACEBO,PLACEBO,PLACEBO,PLACEBO,PLACEBO,PLACEBO,PLACEBO,PLACEBO
EMD_NCT01016483_1_mek,EX,EXCAT,Category for Treatment,Char,11309,0,GEMCITABINE ADMINISTRATION,STUDY TREATMENT PIMASERTIB ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION,STUDY TREATMENT PLACEBO ADMINISTRATION
EMD_NCT01016483_1_mek,EX,EXSCAT,Subcategory for Treatment,Char,11309,0,MONOTHERAPY,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II,PHASE II
EMD_NCT01016483_1_mek,EX,EXDOSU,Dose Units,Char,11229,80,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
EMD_NCT01016483_1_mek,EX,EXDOSFRM,Dose Form,Char,11309,0,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,CAPSULE,SOLUTION
EMD_NCT01016483_1_mek,EX,EXDOSFRQ,Dosing Frequency per Interval,Char,11309,0,BID,BID,BID,BID,BID,BID,BID,BID,BID,BID,Q7D
EMD_NCT01016483_1_mek,EX,EXDOSTOT,Total Daily Dose,Num,11229,80,0,0,0,0,0,0,0,0,0,0,2050
EMD_NCT01016483_1_mek,EX,EXDOSRGM,Intended Dose Regimen,Char,11309,0,"DAYS 1, 8, 15, 22, 29, 36 AND 43 FOLLOWED BY 1 WEEK REST THEN ON DAYS 1, 8 AND 15 OF A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE","TWICE DAILY, DAYS 1 TO 28 CONTINUOUSLY WITHOUT A BREAK FOR A 28-DAY CYCLE"
EMD_NCT01016483_1_mek,EX,EXROUTE,Route of Administration,Char,11309,0,INTRAVENOUS,ORAL,ORAL,ORAL,ORAL,ORAL,ORAL,ORAL,ORAL,ORAL,ORAL
EMD_NCT01016483_1_mek,EX,EXADJ,Reason for Dose Adjustment,Char,11253,56,ADVERSE EVENT,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,OTHER
EMD_NCT01016483_1_mek,EX,ETCD,Element Code,Char,11309,0,MONOTHER,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,EX,ELEMENT,Description of Element,Char,11278,31,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Post Treatment Period
EMD_NCT01016483_1_mek,EX,EPOCH,Epoch,Char,11309,0,MONOTHERAPY TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,EX,EXSTDTC,Start Date/Time of Treatment,Char,11309,0,2012-12-30T11:50,2013-06-14T22:00,2013-07-27T09:00,2013-08-24T18:30,2013-09-22,2013-10-23T15:00,2013-11-26T09:00,2014-01-06T08:00,2014-03-03T10:15,2014-06-23T10:07,2015-02-15T22:20
EMD_NCT01016483_1_mek,EX,EXENDTC,End Date/Time of Treatment,Char,11309,0,2012-12-30T11:50,2013-06-14T22:00,2013-07-27T09:00,2013-08-24T18:30,2013-09-22,2013-10-23T15:00,2013-11-26T09:00,2014-01-06T08:00,2014-03-03T10:45,2014-06-23T10:25,2015-02-15T22:20
EMD_NCT01016483_1_mek,EX,EXSTDY,Study Day of Start of Treatment,Num,11309,0,1,14,29,47,71,97,128,168,223,313,617
EMD_NCT01016483_1_mek,EX,EXENDY,Study Day of End of Treatment,Num,11309,0,1,14,29,47,71,97,128,168,223,313,617
EMD_NCT01016483_1_mek,LB,STUDYID,Study Identifier,Char,23400,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,LB,DOMAIN,Domain Abbreviation,Char,23400,0,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB,LB
EMD_NCT01016483_1_mek,LB,USUBJID,Unique Subject Identifier,Char,23400,0,1,5,7,11,18,21,26,33,37,40,44
EMD_NCT01016483_1_mek,LB,LBSEQ,Sequence Number,Num,23400,0,1,54,109,174,247,337,447,608,826,1200,2332
EMD_NCT01016483_1_mek,LB,LBTESTCD,Lab Test or Examination Short Name,Char,23400,0,ALB,ALT,BILI,CA19_9AG,EOSLE,HGB,LYM,MONOLE,PLAT,SODIUM,WBC
EMD_NCT01016483_1_mek,LB,LBTEST,Lab Test or Examination Name,Char,23400,0,Alanine Aminotransferase,Alkaline Phosphatase,Bilirubin,Cancer Antigen 19-9,Eosinophils/Leukocytes,Glucose,Leukocytes,Magnesium,Phosphate,Protein,Urate
EMD_NCT01016483_1_mek,LB,LBCAT,Category for Lab Test,Char,23400,0,BIOCHEMISTRY,BIOCHEMISTRY,BIOCHEMISTRY,BIOCHEMISTRY,BIOCHEMISTRY,BIOCHEMISTRY,BIOCHEMISTRY,HEMATOLOGY,HEMATOLOGY,HEMATOLOGY,TUMOR MARKER
EMD_NCT01016483_1_mek,LB,LBSCAT,Subcategory for Lab Test,Char,201,23199,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,ARCHIVED TUMOR BIOPSY,FRESH TUMOR BIOPSY
EMD_NCT01016483_1_mek,LB,LBORRES,Result or Finding in Original Units,Char,22316,1084,0,0.56,1.22,122,19,245,3.93,4.32,5.7,7.4,Q61L
EMD_NCT01016483_1_mek,LB,LBORRESU,Original Units,Char,22122,1278,%,10^3/uL,10^9/l,10^9/l,IU/L,IU/L,g/dL,mcmol/L,mmol/L,mmol/L,mmol/L
EMD_NCT01016483_1_mek,LB,LBORNRLO,Reference Range Lower Limit in Orig Unit,Char,22077,1323,0,0,0.00,0.7,10,136,2.15,3.5,35,45,90
EMD_NCT01016483_1_mek,LB,LBORNRHI,Reference Range Upper Limit in Orig Unit,Char,22077,1323,0.065,1,100,152,20.5,35,416,5.2,53,8,<40
EMD_NCT01016483_1_mek,LB,LBSTRESC,Character Result/Finding in Std Format,Char,22316,1084,0,0.7,1.54,137,2.29,276,33,4.87,513,7.6,Q61L
EMD_NCT01016483_1_mek,LB,LBSTRESN,Numeric Result/Finding in Standard Units,Num,22122,1278,0,0.7,1.5,3.5,5.34,14,40,69,121,224,155529.6
EMD_NCT01016483_1_mek,LB,LBSTRESU,Standard Units,Char,22122,1278,%,10^9/L,10^9/L,10^9/L,IU/L,IU/L,g/L,mmol/L,mmol/L,umol/L,umol/L
EMD_NCT01016483_1_mek,LB,LBSTNRLO,Reference Range Lower Limit-Std Units,Num,22077,1323,0,0,0,0.8,2,3.5,4.1,32,62,135,240
EMD_NCT01016483_1_mek,LB,LBSTNRHI,Reference Range Upper Limit-Std Units,Num,22077,1323,0.065,1,2.63,5.551,8,20.52,48,83.98,145,306,600
EMD_NCT01016483_1_mek,LB,LBNRIND,Reference Range Indicator,Char,7336,16064,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW
EMD_NCT01016483_1_mek,LB,LBRESCAT,Result Category,Char,192,23208,MUTATION,MUTATION,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE,WILDTYPE
EMD_NCT01016483_1_mek,LB,LBSTAT,Completion Status,Char,1075,22325,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE,NOT DONE
EMD_NCT01016483_1_mek,LB,LBREASND,Reason Test Not Done,Char,1075,22325,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,NOT COLLECTED ON CRF,SURGICALLY STERILIZED
EMD_NCT01016483_1_mek,LB,LBSPEC,Specimen Type,Char,23400,0,BLOOD,BLOOD,BLOOD,BLOOD,SERUM,SERUM,SERUM,SERUM,SERUM,SERUM,TUMOR TISSUE
EMD_NCT01016483_1_mek,LB,LBLOC,Location Used for the Measurement,Char,192,23208,EXON 1 - CODON 12,EXON 1 - CODON 12,EXON 1 - CODON 13,EXON 1 - CODON 13,EXON 1 - CODON 61,EXON 1 - CODON 61,EXON 15 - CODON 600,EXON 20,EXON 20,EXON 9,EXON 9
EMD_NCT01016483_1_mek,LB,LBMETHOD,Method of Test or Examination,Char,192,23208,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING,PYROSEQUENCING
EMD_NCT01016483_1_mek,LB,LBBLFL,Baseline Flag,Char,1203,22197,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
EMD_NCT01016483_1_mek,LB,VISITNUM,Visit Number,Num,23400,0,1,108,122,136,215,315,501,701,1008,16677.02,26977.01
EMD_NCT01016483_1_mek,LB,VISIT,Visit Name,Char,23400,0,CYCLE 1 DAY 1,CYCLE 1 DAY 22,CYCLE 1 DAY 43,CYCLE 11 DAY 15,CYCLE 2 DAY 1,CYCLE 3 DAY 1,CYCLE 4 DAY 15,CYCLE 6 DAY 1,CYCLE 8 DAY 8,MONOTHERAPY CYCLE 4 DAY 1 UNSCHEDULED 1,TREATMENT TERMINATION UNSCHEDULED 3
EMD_NCT01016483_1_mek,LB,VISITDY,Planned Study Day of Visit,Num,21380,2020,-28,8,22,36,64,92,120,162,225,365,2085
EMD_NCT01016483_1_mek,LB,ETCD,Element Code,Char,22968,432,MONOTHER,PTP,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,LB,ELEMENT,Description of Element,Char,22915,485,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Post Treatment Period,Screening
EMD_NCT01016483_1_mek,LB,EPOCH,Epoch,Char,22968,432,MONOTHERAPY POST TREATMENT,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,LB,LBDTC,Date/Time of Specimen Collection,Char,23400,0,******,2013-05-24,2013-07-16,2013-08-14,2013-09-11,2013-10-10,2013-11-13,2013-12-26,2014-02-24,2014-06-07,2015-03-16
EMD_NCT01016483_1_mek,LB,LBDY,Study Day of Specimen Collection,Num,23108,292,-487,8,22,36,64,92,120,162,218,302,646
EMD_NCT01016483_1_mek,MH,STUDYID,Study Identifier,Char,270,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,MH,DOMAIN,Domain Abbreviation,Char,270,0,MH,MH,MH,MH,MH,MH,MH,MH,MH,MH,MH
EMD_NCT01016483_1_mek,MH,USUBJID,Unique Subject Identifier,Char,270,0,1,6,13,16,20,24,29,32,35,40,44
EMD_NCT01016483_1_mek,MH,MHSEQ,Sequence Number,Num,270,0,1,1,2,2,3,4,5,6,7,10,19
EMD_NCT01016483_1_mek,MH,MHSPID,Sponsor-Defined Identifier,Char,226,44,1,1,10,2,2,3,4,5,6,7,9
EMD_NCT01016483_1_mek,MH,MHTERM,Reported Term for the Medical History,Char,0,270,,,,,,,,,,,
EMD_NCT01016483_1_mek,MH,MHLLT,Lowest Level Term,Char,226,44,Abdominal pain,Aortic aneurysm repair,Cancer pain,Coronary artery disease,Escherichia sepsis,Hiatal hernia,Hypertension arterial,Myocardial infarction,Pneumonia cytomegaloviral,Thyroid nodule,White coat hypertension
EMD_NCT01016483_1_mek,MH,MHLLTCD,Lowest Level Term Code,Num,226,44,10000081,10003008,10008847,10012735,10019093,10020775,10027401,10036135,10045242,10053361,10072639
EMD_NCT01016483_1_mek,MH,MHDECOD,Dictionary-Derived Term,Char,226,44,Abdominal distension,Anaemia,Benign prostatic hyperplasia,Constipation,Diabetes mellitus,Hepatomegaly,Hypertension,Mesenteric vascular insufficiency,Pancreatitis,Thrombophlebitis,Weight decreased
EMD_NCT01016483_1_mek,MH,MHPTCD,Preferred Term Code,Num,226,44,10000060,10002034,10007027,10011078,10018304,10020772,10027401,10034636,10046274,10058108,10072562
EMD_NCT01016483_1_mek,MH,MHHLT,High Level Term,Char,226,44,Abdominal and gastrointestinal infections,Appetite disorders,Bronchospasm and obstruction,Diabetes mellitus (incl subtypes),Extremity deformities,Gastrointestinal atonic and hypomotility disorders NEC,Ischaemic coronary artery disorders,Oncologic complications and emergencies,Rate and rhythm disorders NEC,Uterine therapeutic procedures,Vascular hypertensive disorders NEC
EMD_NCT01016483_1_mek,MH,MHHLTCD,High Level Term Code,Num,226,44,10001910,10003550,10008636,10012602,10016770,10017933,10020774,10025439,10034572,10046309,10071941
EMD_NCT01016483_1_mek,MH,MHHLGT,High Level Group Term,Char,226,44,Abdominal hernias and other abdominal wall conditions,Blood and lymphatic system disorders congenital,Embolism and thrombosis,Gastrointestinal motility and defaecation conditions,Gastrointestinal signs and symptoms,Glucose metabolism disorders (incl diabetes mellitus),Infections - pathogen unspecified,Musculoskeletal and connective tissue disorders NEC,Reproductive neoplasms male malignant and unspecified,Vascular hypertensive disorders,Vitamin related disorders
